id,user_name,user_avatar,created_at,text,accuracy,communication,cleanliness,location,checkIn,value
85,Rani,https://robohash.org/nobisveritatisipsum.jpg?size=50x50&set=set1,09/05/2016,"Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",3,1,4,4,2,2
86,Sharla,https://robohash.org/placeatveniamid.jpg?size=50x50&set=set1,02/21/2017,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",4,2,2,3,5,2
87,Raven,https://robohash.org/quiaquiconsequatur.jpg?size=50x50&set=set1,12/27/2016,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",1,5,3,1,3,4
88,Erna,https://robohash.org/reprehenderitaccusamusfacilis.jpg?size=50x50&set=set1,01/18/2016,"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",2,1,3,4,2,1
89,Ede,https://robohash.org/quaeminusculpa.jpg?size=50x50&set=set1,05/24/2017,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",5,3,2,1,4,1
90,Aguistin,https://robohash.org/consecteturutipsam.jpg?size=50x50&set=set1,07/19/2016,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,5,2,5,3,3,5
91,Jessie,https://robohash.org/veniameumqui.jpg?size=50x50&set=set1,02/25/2017,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",3,2,2,1,4,1
92,Valene,https://robohash.org/quiautid.jpg?size=50x50&set=set1,01/19/2018,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",4,5,1,4,5,1
93,Bertie,https://robohash.org/excepturimolestiasut.jpg?size=50x50&set=set1,04/11/2017,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",3,1,2,2,5,2
94,Ignaz,https://robohash.org/optioadipisciaperiam.jpg?size=50x50&set=set1,07/09/2016,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",4,5,5,4,1,4
95,Chadwick,https://robohash.org/utitaqueexplicabo.jpg?size=50x50&set=set1,09/03/2017,Donec dapibus.,3,4,5,5,2,1
96,Flossy,https://robohash.org/quosdoloresdoloremque.jpg?size=50x50&set=set1,10/12/2017,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1,1,5,1,1,1
97,Prudy,https://robohash.org/utadeleniti.jpg?size=50x50&set=set1,12/29/2016,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",4,3,3,2,2,2
98,Anselma,https://robohash.org/etsintvoluptatibus.jpg?size=50x50&set=set1,05/23/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,3,5,3,4,5,1
99,Hansiain,https://robohash.org/iustoutexcepturi.jpg?size=50x50&set=set1,07/24/2016,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",5,1,4,2,2,5
100,Mirelle,https://robohash.org/illumvoluptaset.jpg?size=50x50&set=set1,12/22/2016,Phasellus sit amet erat.,2,5,3,4,2,3
